                      68                      -2                  450580
                      64                      -1                   40128
                      66                      -1                  510848
                      60                       0                    2008
                      62                       0                   33616
                      64                       0                  173920
                      56                       1                      40
                      58                       1                     840
                      60                       1                    6188
                      62                       1                   17608
                      60                       2                       4
