                      52                      -5                   14650
                      48                      -4                   42964
                      50                      -4                  213064
                      44                      -3                   62832
                      46                      -3                  435904
                      48                      -3                 1031700
                      40                      -2                   50436
                      42                      -2                  424024
                      44                      -2                 1417628
                      46                      -2                 2137432
                      36                      -1                   23344
                      38                      -1                  210288
                      40                      -1                  859396
                      42                      -1                 1840736
                      44                      -1                 2011416
                      32                       0                    5696
                      34                       0                   52952
                      36                       0                  232528
                      38                       0                  612208
                      40                       0                  951860
                      42                       0                  829512
                      28                       1                     574
                      30                       1                    5176
                      32                       1                   23540
                      34                       1                   66176
                      36                       1                  127508
                      38                       1                  160488
                      40                       1                  127678
                      32                       2                     292
                      34                       2                    1776
                      36                       2                    4240
                      38                       2                    5784
                      36                       3                      14
