                      60                      -6                  763144
                      56                      -5                 1475472
                      58                      -5                 9420256
                      52                      -4                 1625928
                      54                      -4                14261408
                      56                      -4                42189488
                      48                      -3                 1083480
                      50                      -3                11624944
                      52                      -3                48385008
                      54                      -3                88886680
                      44                      -2                  466520
                      46                      -2                 5454024
                      48                      -2                27945544
                      50                      -2                73514632
                      52                      -2                95280936
                      40                      -1                  124188
                      42                      -1                 1535288
                      44                      -1                 8607944
                      46                      -1                28020408
                      48                      -1                52607004
                      50                      -1                52252080
                      36                       0                   18884
                      38                       0                  235176
                      40                       0                 1396884
                      42                       0                 4982072
                      44                       0                11623584
                      46                       0                16869648
                      48                       0                13881484
                      32                       1                    1240
                      34                       1                   15240
                      36                       1                   91284
                      38                       1                  343608
                      40                       1                  881436
                      42                       1                 1620432
                      44                       1                 2011996
                      46                       1                 1563168
                      36                       2                     880
                      38                       2                    7432
                      40                       2                   28216
                      42                       2                   55016
                      44                       2                   63716
                      40                       3                      76
                      42                       3                     344
