                      44                      -4                     304
                      40                      -3                    1620
                      42                      -3                    5776
                      36                      -2                    3384
                      38                      -2                   17472
                      40                      -2                   31408
                      32                      -1                    3276
                      34                      -1                   20200
                      36                      -1                   51824
                      38                      -1                   62168
                      28                       0                    1496
                      30                       0                    9568
                      32                       0                   29812
                      34                       0                   50248
                      36                       0                   46176
                      24                       1                     252
                      26                       1                    1576
                      28                       1                    5096
                      30                       1                   10432
                      32                       1                   13244
                      34                       1                   10728
                      28                       2                      88
                      30                       2                     312
                      32                       2                     532
