                      16                       0                      64
                      18                       0                      48
                      20                       0                      96
                      10                       1                     160
                      12                       1                     928
                      14                       1                    2016
                      16                       1                    2196
                      18                       1                    1496
                      20                       1                     768
                      12                       2                     576
                      14                       2                   12552
                      16                       2                   19960
                      18                       2                   15672
                      20                       2                    6164
                      16                       3                   53500
                      18                       3                   57384
                      20                       3                   27360
                      18                       4                   82480
                      20                       4                   51204
                      20                       5                   42368
