                      24                      -1                      18
                      16                       0                      96
                      18                       0                     288
                      20                       0                     528
                      22                       0                     408
                      24                       0                     332
                      10                       1                      40
                      12                       1                     624
                      14                       1                    2784
                      16                       1                    6416
                      18                       1                    8576
                      20                       1                    8264
                      22                       1                    4932
                      24                       1                    2570
                      14                       2                    4080
                      16                       2                   33282
                      18                       2                   66160
                      20                       2                   66240
                      22                       2                   39216
                      24                       2                   13054
                      16                       3                    5046
                      18                       3                  150796
                      20                       3                  224232
                      22                       3                  158712
                      24                       3                   53786
                      20                       4                  287396
                      22                       4                  284056
                      24                       4                  114750
                      22                       5                  226752
                      24                       5                  122092
                      24                       6                   62266
