                      52                      -3                  133544
                      48                      -2                   58760
                      50                      -2                  451820
                      44                      -1                   14920
                      46                      -1                  146984
                      48                      -1                  485462
                      40                       0                    1916
                      42                       0                   22896
                      44                       0                  101964
                      46                       0                  193540
                      36                       1                     105
                      38                       1                    1344
                      40                       1                    7264
                      42                       1                   19208
                      44                       1                   23881
                      40                       2                      20
                      42                       2                     112
