                      24                      -1                      72
                      16                       0                     294
                      18                       0                    1008
                      20                       0                    1926
                      22                       0                    1704
                      24                       0                    1400
                      10                       1                     112
                      12                       1                    1944
                      14                       1                    9612
                      16                       1                   24404
                      18                       1                   35696
                      20                       1                   44684
                      22                       1                   33792
                      24                       1                   28628
                      14                       2                   35880
                      16                       2                  347352
                      18                       2                  806680
                      20                       2                  941772
                      22                       2                  640440
                      24                       2                  289972
                      16                       3                  128208
                      18                       3                 4693208
                      20                       3                 8693244
                      22                       3                 7466604
                      24                       3                 2965444
                      20                       4                28290014
                      22                       4                37471288
                      24                       4                19047936
                      22                       5                75952320
                      24                       5                58799920
                      24                       6                77784658
