                      24                      -1                      98
                      16                       0                     384
                      18                       0                    1344
                      20                       0                    2584
                      22                       0                    2328
                      24                       0                    1916
                      10                       1                     144
                      12                       1                    2544
                      14                       1                   12776
                      16                       1                   32896
                      18                       1                   48720
                      20                       1                   65640
                      22                       1                   52540
                      24                       1                   48922
                      14                       2                   59640
                      16                       2                  591994
                      18                       2                 1404576
                      20                       2                 1672736
                      22                       2                 1157120
                      24                       2                  568638
                      16                       3                  272174
                      18                       3                10266100
                      20                       3                19593024
                      22                       3                17256232
                      24                       3                 6991418
                      20                       4                79969284
                      22                       4               110026008
                      24                       4                57547022
                      22                       5               279979272
                      24                       5               226606068
                      24                       6               377818258
