                      72                      -5               669582340
                      68                      -4               205756384
                      70                      -4              2359836444
                      64                      -3                42723112
                      66                      -3               641300064
                      68                      -3              3128880020
                      60                      -2                 5585296
                      62                      -2               104266864
                      64                      -2               708712988
                      66                      -2              1986151832
                      56                      -1                  483094
                      58                      -1                 9983988
                      60                      -1                84650516
                      62                      -1               345371676
                      64                      -1               632947886
                      52                       0                   24596
                      54                       0                  553372
                      56                       0                 5248298
                      58                       0                26834148
                      60                       0                73758400
                      62                       0                95822112
                      48                       1                     574
                      50                       1                   13496
                      52                       1                  139260
                      54                       1                  802116
                      56                       1                 2777038
                      58                       1                 5535884
                      60                       1                 5555828
                      52                       2                     292
                      54                       2                    4016
                      56                       2                   19360
                      58                       2                   42924
                      56                       3                      14
